"#";"Iniciar";"Localização";"Descrição"
"170";"25/08/2023 14:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5999726,-51,1023406"",""Calmon (Calmon)"")";"Paragem do Motor"
"171";"25/08/2023 14:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5999726,-51,1023406"",""Calmon (Calmon)"")";"Chave Desligada"
"172";"25/08/2023 14:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5999624,-51,102327"",""Calmon (Calmon)"")";"Chave Ligada"
"173";"25/08/2023 14:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5999624,-51,102327"",""Calmon (Calmon)"")";"Arranque do Motor"
"174";"25/08/2023 14:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5999649,-51,10234"",""Calmon (Calmon)"")";"Paragem do Motor"
"175";"25/08/2023 14:34";"=HYPERLINK(""http://maps.google.com/?q=-26,5999649,-51,10234"",""Calmon (Calmon)"")";"Chave Desligada"
"176";"25/08/2023 14:37";"=HYPERLINK(""http://maps.google.com/?q=-26,5999701,-51,102346"",""Calmon (Calmon)"")";"Chave Ligada"
"177";"25/08/2023 14:37";"=HYPERLINK(""http://maps.google.com/?q=-26,5999703,-51,102346"",""Calmon (Calmon)"")";"Arranque do Motor"
"178";"25/08/2023 14:37";"=HYPERLINK(""http://maps.google.com/?q=-26,5999771,-51,1023536"",""Calmon (Calmon)"")";"Em andamento"
"179";"25/08/2023 14:43";"=HYPERLINK(""http://maps.google.com/?q=-26,6003785,-51,0981153"",""Calmon (Calmon)"")";"Paragem do Motor"
"180";"25/08/2023 14:43";"=HYPERLINK(""http://maps.google.com/?q=-26,6003785,-51,0981153"",""Calmon (Calmon)"")";"Chave Desligada"
